mac_code_file,mac_name_length_offset,mac_mangled_name,x86_address,confidence,evidence,raw_inventory_status,raw_name_length_offset
CODE_02_Visos (Generic).bin,0x000128B0,__ct__12CPVGDIBitmapFv,0x00472290,high,family order; constructor behavior; 0x40-byte object,exact_tuple,0x000128B0
CODE_02_Visos (Generic).bin,0x00012902,__dt__12CPVGDIBitmapFv,0x004722D0,high,family order; destructor behavior,exact_tuple,0x00012902
CODE_02_Visos (Generic).bin,0x00012948,Free__12CPVGDIBitmapFv,0x004722E0,high,family order; releases line-pointer storage,exact_tuple,0x00012948
CODE_02_Visos (Generic).bin,0x00012994,Initialise__12CPVGDIBitmapFv,0x00472310,high,family order; clears bitmap state,exact_tuple,0x00012994
CODE_02_Visos (Generic).bin,0x00012A23,CreateLinePtrs__12CPVGDIBitmapFv,0x00472340,high,family order; allocates row-pointer index,exact_tuple,0x00012A23
CODE_02_Visos (Generic).bin,0x00012AC6,ResetLinePtrs__12CPVGDIBitmapFv,0x004723A0,high,family order; resets rows and border storage,exact_tuple,0x00012AC6
CODE_02_Visos (Generic).bin,0x00012B3E,SetLinePtrs__12CPVGDIBitmapFv,0x00472400,high,family order; rebuilds row-pointer table,exact_tuple,0x00012B3E
CODE_02_Visos (Generic).bin,0x00012C21,Scroll__12CPVGDIBitmapFRC7CVSRectRC8CVSPoint,0x00472440,high,family order; rectangle row scrolling,exact_tuple,0x00012C21
CODE_02_Visos (Generic).bin,0x00012CF1,SetSize__12CPVGDIBitmapFRC7CVSSizei,0x004725F0,high,family order; backing dimensions,exact_tuple,0x00012CF1
CODE_02_Visos (Generic).bin,0x00012D67,SetBitsBase__12CPVGDIBitmapFPUci,0x00472670,high,family order; base pointer and stride,exact_tuple,0x00012D67
CODE_02_Visos (Generic).bin,0x00012E5B,GetRects__12CPVGDIBitmapFRC7CVSRectRP7CVSRectRP7CVSRect,0x004726B0,high,family order; splits wrapped rectangle,exact_tuple,0x00012E5B
CODE_02_Visos (Generic).bin,0x00012EA6,ResetScroll__12CPVGDIBitmapFv,0x00472760,high,family order; reset-scroll thunk,exact_tuple,0x00012EA6
CODE_02_Visos (Generic).bin,0x00015F18,__ct__18CPVBackBuffSurfaceFv,0x00466440,high,constructs shared CPVSurface virtual base when most-derived; embeds CPVGDIBitmap; byte backing buffer family,exact_tuple,0x00015F18
CODE_02_Visos (Generic).bin,0x00015F96,__dt__18CPVBackBuffSurfaceFv,0x004664B0,high,restores back-buffer tables and destroys embedded CPVGDIBitmap,exact_tuple,0x00015F96
CODE_02_Visos (Generic).bin,0x00015FF3,HasBackBuff__18CPVBackBuffSurfaceFv,0x004664E0,high,CPVSurface slot 15 override; returns byte back-buffer active state and follows linked CSurface,exact_tuple,0x00015FF3
CODE_02_Visos (Generic).bin,0x00016055,FreeBackBuff__18CPVBackBuffSurfaceFv,0x00466510,high,frees byte backing storage and CPVGDIBitmap line pointers,exact_tuple,0x00016055
CODE_02_Visos (Generic).bin,0x00016177,AllocateBackBuff__18CPVBackBuffSurfaceFv,0x00466540,high,allocates width*height byte backing and binds embedded CPVGDIBitmap,exact_tuple,0x00016177
CODE_02_Visos (Generic).bin,0x000161D5,EnableBackBuff__18CPVBackBuffSurfaceFUc,0x00466630,high,enable flag allocates; disable path frees byte back buffer,exact_tuple,0x000161D5
CODE_02_Visos (Generic).bin,0x00016211,ResizeBackBuff__18CPVBackBuffSurfaceFv,0x00466660,high,back-buffer virtual forwards to allocation/resize body,exact_tuple,0x00016211
